Регион|Способ продажи|Цена|Вид объекта|Адрес|Площадь|Контакт менеджера|Документы к лоту|Презентация|Описание|Кадастровый номер|Ссылка на объявление
Москва|Продажа посредством публичного предложения|21 066 048 ₽|Земельные участки| Россия, Москва, поселение Первомайское, деревня Пучково, Троицкая улица, 80|3 994 м²|ФИО: Орлов Артур Станиславович, тел:+79851719057|https://auction-house.ru/catalog/l-30000099144/document-archive/| |Продается право аренды на конгломерат земельных участков совокупной площадь 3 994 кв. м (1 862 кв. м и 2 132 кв. м соответственно).   Кадастровый номер: 50:26:0191413:60. Вид права: аренда. Собственник: Российская Федерация.  Договор аренды земельного участка, находящегося в федеральной собственности, 55/10 от 15.07.2010 со сроком на 49 лет (по 26.08.2059). Размер годовой арендной платы за участок составляет 19 460 рублей. Обременения/ограничения: на участке расположен незарегистрированный в установленном порядке объект капитального строительства ориентировочной площадью -               1 189,9 кв. м.  Кадастровый номер: 50:26:0191413:62. Вид права: аренда. Собственник: Российская Федерация. Договор аренды земельного участка, находящегося в федеральной собственности, 57/10 от 15.07.2010 со сроком на 49 лет (по 26.08.2059). Размер годовой арендной платы за участок составляет 22 282 рубля. Обременения/ограничения: на участке расположен незарегистрированный в установленном порядке объект капитального строительства ориентировочной площадью – 749,2 кв. м. Оба земельных участка расположены в границах деревни Пучково (ТАО), в окружении малоэтажной и индивидуальной застройки бизнес-класса. Ближайшая транспортная артерия – Калужское шоссе, которое проходит в 5,5 км от Объекта. Оба участка примыкают к лесному массиву и реке Рыжовка.  Транспортная доступность ЗУ: оба участка имеют хорошую транспортную доступность: подъезд по асфальтированной и освещенной дороге. Участки имеют потенциал развития под малоэтажное строительство. Факторами инвестиционной привлекательности лота являются:   |50:26:0191413:60|https://auction-house.ru/catalog/l-30000099144/
Москва|Продажа посредством публичного предложения|20 761 893 ₽|Земельные участки| Московская обл., Ленинский р-н., Лаптево д., 142791|11 500 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000109570/document-archive/| |"Продается земельный участок 1,1 Га в поселении Воскресенское, Новая Москва.  Участок расположен в 11 км от МКАД в Новой Москве. На участке присутствуют деревья (в том числе крупномеры) и кустарники, формирующие привлекательный природный ландшафт.Участок находится на берегу реки Десна, имеется прямой выход к воде.Подъезд к земельному участку осуществляется с Калужского шоссе по внутрипоселковой дороге. Участок не огорожен.Площадь участка - 11 500 кв.м.Кадастровый номер: 50:21:0130104:111.Категория земель - земли населенных пунктов, разрешенное использование – под строительство коттеджей.Вид права: СобственностьВид разрешенного использования, наличие выхода к реке и локационные характеристики участка, с учетом выполненного присоединения к дороге и близости к МКАД, делают его крайне привлекательным для строительства поселка. Факторами инвестиционной привлекательности являются:- Транспортная доступность: МКАД - 11 км (15 минут транспортом); Аэропорт ""Остафьево"" - 5,5 км (10 минут транспортом); Ст. метро ""Бунинская аллея"" - 6 км (10 минут транспортом);- Близость к МКАД;- Благоприятная экологическая обстановка."|50:21:0130104:111|https://auction-house.ru/catalog/l-30000109570/
Москва|Продажа посредством публичного предложения|131 675 664.77 ₽|Земельные участки| Москва, Дмитровское шоссе, д. 62|10 509.60 м²|ФИО: Иванов Андрей Анатольевич, тел:+79197750101|https://auction-house.ru/catalog/l-30000109296/document-archive/| |Продаются объекты незавершенного строительства - два нежилых помещения общей площадью 10 509,6 кв.м. Первое нежилое помещение расположено на 2 этаже общей площадью 5 025,7 кв. м. Второе нежилое помещение расположено на 3 этаже общей площадью 5483,9 кв.м. В контур сделки входит: доля в праве аренды на земельный участок с кадастровым номером № 77:09:0002029:13 на основании договора аренды земельного участка № М09-005430 от 22.05.1996 г. сроком на 25 лет. Общая площадь ЗУ: 14 412 кв. м. Категория земель: земли населённых пунктов. ВРИ: для размещения объектов, характерных для населенных пунктов, по документу: предприятия автосервиса. Транспортная доступность: первая линия Дмитровского шоссе, вечерняя сторона. 300 метров до метро «Верхние Лихоборы».  800 метров до метро «Окружная». 7 км от ТТК. Инвестиционная привлекательность: данный лот имеет очень хороший потенциал для последующего редевелопмента, создания объекта нового строительства. |77:09:0002029:13|https://auction-house.ru/catalog/l-30000109296/
Москва|Продажа посредством публичного предложения|28 918 296 ₽|Дома, коттеджи| Москва, пос. Краснопахорское, с. Красное, Лесной пр., д. 10|1 669.90 м²|ФИО: Орлов Артур Станиславович, тел:+79851719057|https://auction-house.ru/catalog/l-30000110834/document-archive/| |Продается частный загородный дом в Москве, 27 км. от МКАД по Калужскому шоссе. Дом общей площадью 619,9 кв. м, расположен на земельным участке площадью 1 050 кв. м. Дом в собственности, кадастровый номер: 77:22:0020203:49.   Земельный участок в собственности, категория: земли населенных пунктов, ВРИ: для ведения личного подсобного хозяйства, кадастровый номер: 50:27:0020203:362. Дом трехэтажный, материал стен – кирпич. В окнах дома установлены стеклопакеты.  Отделка выполнена, требуется небольшой косметический ремонт. Дом готов к проживанию. Территория участка благоустроена, есть забор по периметру всего участка. Участок прилегает к лесному массиву.   Подъезд к участку непосредственно с ул. Садовой с асфальтовым покрытием.  В доме установлен водяной котел, отопление водяное, в каждой комнате водяные батареи.  Факторы инвестиционной привлекательности: ​​​​|77:22:0020203:49|https://auction-house.ru/catalog/l-30000110834/
Москва|Публичная оферта|722 900 000 ₽|Земельные участки| г. Москва, п. Десеновское, вблизи дер. Кувекино |570 010 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000112372/document-archive/| |Продаются отдельными лотами земельные участки вблизи в новой Москве в п. Десеновское. Общая суммарная площадь участков, формирующая три лота, составляет 764 139 кв. м. Площади участков:  Лот №1: 541 470 кв. м и 28 540 кв. м. Кадастровые номера: 77:00:0000000:498064 и 77:00:0000000:498066.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664302 Лот №2: 145 835 кв. м. Кадастровый номер: 77:00:0000000:498065.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664303 Лот №3: 48 294 кв. м. Кадастровый номер: 77:17:0000000:16740.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664305 Все участки имеют схожее назначение, а именно: категория земель: земли населенных пунктов, вид разрешенного использования: жилые дома, предназначенные для проживания одной семьи – объекты индивидуального жилищного строительства. Вид права на все участки: собственность. Окружение: деревня Пыхчево, КП Грин Парк, СНТ Киселево, д. Кувекино, Евсеево и другие. Коммуникации – от соседних населенных пунктов. Транспортная доступность: Факторы инвестиционной привлекательности:|77:00:0000000:498064|https://auction-house.ru/catalog/l-30000112372/
Москва|Открытый голландский аукцион|1 240 145 600 ₽|Отдельно стоящие здания| г. Москва, ул. Обручева, д.52, стр.3 |15 865 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000113134/document-archive/|https://auction-house.ru/media/uploads/l-30000113134/df614615.pdf|Продается отдельно стоящее здание площадью около 30 тыс. кв.м., расположенное на земельном участке 1,6 Га, на пересечении Балаклавского, Севастопольского проспектов и ул. Обручева в г. Москве. Имущественный комплекс расположен на второй линии дороги, напротив входя в Битцевский лесопарк. Имущественный комплекс (далее – Актив) имеет потенциал редевелопмента в комплекс апартаментов. Также, возможно сохранение текущей функции использования здания. Актив включает в себя: 1. Нежилое здание площадью 29 984 кв. м. Вид права: собственность.Назначение: административное (офис).Кадастровый номер: 77:06:0008002:1045.Количество этажей, в том числе подземных этажей: 5, в том числе подземных 1.Отделка внутри здания офисная.Внешнее и внутренне состояние объекта удовлетворительное. 2. Земельный участок площадью 15 865 кв. м. Вид права: долгосрочная аренда для размещения офисных зданий.Кадастровый номер: 77:06:0008002:1004.Категория: земли населенных пунктов.ВРИ: деловое управление, для размещения объектов коммерческого назначения; существующая плотность застройки: 19 тыс. кв. м. на 1 Га.Доля земельного участка, занимаемого зданием: около 40%. В пределах земельного участка с кадастровым номером 77:06:0008002:1004 расположены: сооружение с кадастровым номером 77:06:0008002:1282 (канализация самотечная) и сооружение с кадастровым номером 77:06:0008002:1278 (водосток самотечный) без оформления договорных отношений и установления сервитута. Обременения/ограничения: не зарегистрированы. Актив расположен на юго-западе Москвы на пересечении Севастопольского проспекта и Балаклавского проспекта, переходящего в ул. Обручева. Находится в густонаселенном районе плотной жилой застройки с развитой инфраструктурой и близостью к одной из самых крупных рекреационных зон города. В непосредственной близости располагаются магазины, торговые центры, образовательные учреждения, заведения общественного питания и пр. Перед зданием имеется большая охраняемая парковка. В пешей доступности находятся 3 станции метро (Калужская, Чертановская и Зюзино). Коммуникации: водоснабжение, канализация, электроэнергия, отопление. Выделенная эл. мощность: 2500 кВт. Часть помещений (3% площадей здания) сданы в аренду: арендованные помещения составляют площадь около 900 кв. м. Срок аренды: неопределенный срок в соответствии с п.2 ст.621 Гражданского кодекса Российской Федерации. Факторами инвестиционной привлекательности объекта являются: |77:06:0008002:1045|https://auction-house.ru/catalog/l-30000113134/
Москва|Открытый английский аукцион|10 492 915.50 ₽|Земельные участки| Москва, поселение Сосенское, д. Бачурино, уч. № 307а|1 500 м²|ФИО: Иванов Андрей Анатольевич, тел:+79197750101|https://auction-house.ru/catalog/l-30000114094/document-archive/| |Продаётся земельный участок площадью 1500 кв.м правильной формы. Категория земель: земли населенных пунктов. ВРИ: для ведения личного подсобного хозяйства.Кадастровый номер: 50:21:0120316:1016. Собственность оформлена. Транспортная доступность:  удобный подъезд по Калужскому шоссе, 3,5 км до объекта;2,5 км до МКАД; в транспортной доступности расположена станция метро: «Коммунарка», всего 3,5 км. Преимущества: объект характеризуется прекрасной транспортной доступностью за счет близости его расположения к Москве и станции метро «Коммунарка», Калужскому шоссе и  МКАД. Подъезд к домовладению осуществляется с Калужского шоссе. Близость к Москве и развитая инфраструктура района Коммунарка, делает данный объект хорошей инвестицией.|50:21:0120316:1016|https://auction-house.ru/catalog/l-30000114094/
Москва|Открытый английский аукцион|693 567 252 ₽|Земельные участки| Москва, Краснопахорское поселение, дер. Софьино|250 530 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000114942/document-archive/| |"Продаются одним лотом земельные участки 25 Га под жилищный девелопмент в Новой Москве, дер. Софьино. Совокупная площадь участков составляет 250 530 кв. м.Земельные участки имеют общие границы, расположены в границах деревни Софьино, в окружении малоэтажной и индивидуальной коттеджной застройки. Ближайшая транспортная артерия – Калужское шоссе, которое проходит в 1 км от участков.Участки расположены в 5 км от ЦКАД и от г. Троицк, расстояние от МКАД по Калужскому шоссе составляет 22 км. В непосредственной близости протекает река Пахра.Состав лота: 1. Земельный участок площадью 114 278 кв. м.Кадастровый номер: 50:27:0020330:98.Категория земель и ВРИ: земли населенных пунктов - под застройку жилыми зданиями, объектами культурно-бытового и социального назначения.2. Земельный участок площадью 136 252 кв. м.Кадастровый номер: 50:27:0020330:97.Категория земель и ВРИ: земли населенных пунктов - под застройку жилыми зданиями, объектами культурно-бытового и социального назначения.Вид права на оба участка: собственность.Окружение: коттеджный поселок ""Гайд Парк"", пос. Красная Пахра, пос. Шаганино, г. Троицк.Коммуникации – возможны подключения от соседних населенных пунктов.Транспортная доступность: Факторы инвестиционной привлекательности:"|50:27:0020330:98|https://auction-house.ru/catalog/l-30000114942/
Москва|Продажа посредством публичного предложения|10 465 689.60 ₽|Земельные участки| Москва, пос. Первомайское, вблизи дер. Пучково, Троицкая ул., д. 97а|10 748 м²|ФИО: Орлов Артур Станиславович, тел:+79851719057|https://auction-house.ru/catalog/l-30000099145/document-archive/| |Продается земельный участок площадью 10 712 +/- 36 кв. м, категория: земли населенных пунктов; ВРИ: для размещения объектов учреждений дошкольного воспитания (1.2.17), объектов размещения учреждений кружковой деятельности и учреждений для организации досуговой работы с населением по месту жительства, в том числе детского творчества (1.2.17), участки для размещения жилищно-коммунальных объектов.  Вид права: собственность.  Кадастровый номер: 50:26:0191416:53. Земельный участок расположен в границах деревни Пучково (ТАО), в окружении малоэтажной и индивидуальной застройки бизнес-класса. Ближайшая транспортная артерия – Калужское шоссе, которое проходит в 5,5 км от Объекта, в 300 метрах лесной массив и в 600 метрах река Рыжовка. Транспортная доступность ЗУ: участок имеет хорошую транспортную доступность: подъезд по асфальтированной двухполосной и освещенной дороге. Земельный участок имеет потенциал развития как под малоэтажное строительство или строительство объекта рекреации.  Факторами инвестиционной привлекательности объекта являются: |50:26:0191416:53|https://auction-house.ru/catalog/l-30000099145/
Москва|Публичная оферта|222 000 000 ₽|Земельные участки| г. Москва, п. Десеновское, вблизи дер. Кувекино |145 835 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000112373/document-archive/| |Продаются отдельными лотами земельные участки вблизи в новой Москве в п. Десеновское. Общая суммарная площадь участков, формирующая три лота, составляет 764 139 кв. м. Площади участков:  Лот №1: 541 470 кв. м и 28 540 кв. м. Кадастровые номера: 77:00:0000000:498064 и 77:00:0000000:498066.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664302 Лот №2: 145 835 кв. м. Кадастровый номер: 77:00:0000000:498065.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664303 Лот №3: 48 294 кв. м. Кадастровый номер: 77:17:0000000:16740.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664305 Все участки имеют схожее назначение, а именно: категория земель: земли населенных пунктов, вид разрешенного использования: жилые дома, предназначенные для проживания одной семьи – объекты индивидуального жилищного строительства. Вид права на все участки: собственность. Окружение: деревня Пыхчево, КП Грин Парк, СНТ Киселево, д. Кувекино, Евсеево и другие. Коммуникации – от соседних населенных пунктов. Транспортная доступность: Факторы инвестиционной привлекательности:|77:00:0000000:498064|https://auction-house.ru/catalog/l-30000112373/
Москва|Продажа посредством публичного предложения|736 560 ₽|Земельные участки| Москва г., Щаповское п., Шаганино д., ДНП Европейская долина-2 тер., 108825|1 010 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000098189/document-archive/| |Земельный участок - 1 010 кв. м, адрес: г. Москва, поселение Щаповское, вблизи д. Шаганино, ДНП Европейская долина-2, уч. 311, кадастровый номер 50:27:0020229:1360, земли населенных пунктов, для дачного строительства, ограничения и обременения: на часть земельного участка иные ограничения (обременения) прав, временные. Дата истечения срока действия временного характера - 13.05.2016|50:27:0020229:1360|https://auction-house.ru/catalog/l-30000098189/
Москва|Публичная оферта|79 400 000 ₽|Земельные участки| Москва, Десеновское п, Пыхчево д, Пыхчево снт, дом 8б|48 294 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000112374/document-archive/| |Продаются отдельными лотами земельные участки вблизи в новой Москве в п. Десеновское. Общая суммарная площадь участков, формирующая три лота, составляет 764 139 кв. м. Площади участков:  Лот №1: 541 470 кв. м и 28 540 кв. м. Кадастровые номера: 77:00:0000000:498064 и 77:00:0000000:498066.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664302 Лот №2: 145 835 кв. м. Кадастровый номер: 77:00:0000000:498065.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664303 Лот №3: 48 294 кв. м. Кадастровый номер: 77:17:0000000:16740.Ссылка на аукцион: https://catalog.lot-online.ru/index.php?dispatch=products.view&product_id=664305 Все участки имеют схожее назначение, а именно: категория земель: земли населенных пунктов, вид разрешенного использования: жилые дома, предназначенные для проживания одной семьи – объекты индивидуального жилищного строительства. Вид права на все участки: собственность. Окружение: деревня Пыхчево, КП Грин Парк, СНТ Киселево, д. Кувекино, Евсеево и другие. Коммуникации – от соседних населенных пунктов. Транспортная доступность: Факторы инвестиционной привлекательности:|77:00:0000000:498064|https://auction-house.ru/catalog/l-30000112374/
Москва|Продажа посредством публичного предложения|550 368 ₽|Земельные участки| Москва г., Щаповское п., Шаганино д., ДНП Европейская долина-2 тер., 108825|2 504 м²|ФИО: Кабанов Александр Александрович, тел:+79100191239|https://auction-house.ru/catalog/l-30000098190/document-archive/| |Земельный участок - 2 504 кв. м, адрес: г. Москва, поселение Щаповское, вблизи д. Шаганино, ДНП Европейская долина-2, уч. 277, кадастровый номер 50:27:0020229:1326, земли населенных пунктов, для дачного строительства, ограничения и обременения: на части земельного участка: ограничения прав на земельный участок, предусмотренные статьями 56, 56.1 Земельного кодекса РФ, Постановление Главы Подольского муниципального района № 3436 от 30.12.2008, временные. Дата истечения срока действия временного характера - 04.06.2015; иные ограничения (обременения) прав, временные. Дата истечения срока действия временного характера - 25.05.2016|50:27:0020229:1326|https://auction-house.ru/catalog/l-30000098190/
